email,name,profile_score,ratings_score,search_score
user3971@hotmail.com,Michelle B.,1.35,2.83,2.24
user2424@verizon.net,Kristina M.,1.54,3.25,2.22
user4739@gmail.com,Lauren B.,1.35,2.57,2.2
user2847@verizon.net,Dawn M.,0.96,3,2.18
user7442@verizon.net,Leah S.,0.96,3.4,2.18
user6074@t-mobile.com,Tony L.,0.96,3.4,2.18
user6217@gmail.com,William P.,1.15,3.2,2.17
user9866@gmail.com,Ilka A.,0.77,2.71,2.13
user2644@hotmail.com,Sylvia W.,1.35,3.25,2.11
user4846@hotmail.com,Sandy O.,1.15,3.5,2.09
user7938@verizon.net,Aksana B.,0.96,3.75,2.08
user5555@gmail.com,Julianna C.,1.35,2.8,2.08
user1349@hotmail.com,Magali M.,0.96,3.2,2.08
user8249@yahoo.com,Reagan N.,0.96,3.2,2.08
user6604@yahoo.com,Nelson M.,1.15,2.43,2.05
user7759@hotmail.com,Jennifer W.,1.35,3,2.01
user7851@hotmail.com,Rachel  R.,1.15,4,2
user5835@yahoo.com,Heather T.,0.96,2.67,1.99
user6702@hotmail.com,Jordan  R.,1.15,3.25,1.99
user7345@verizon.net,Carl P.,0.96,3.5,1.98
user1211@yahoo.com,Lyndsey B.,1.35,2.6,1.98
user1842@hotmail.com,Christa A.,1.35,3.33,1.94
user5322@t-mobile.com,Lindsay H.,1.54,3.5,1.93
user8656@yahoo.com,Anna Marie W.,1.35,2.75,1.91
user1690@verizon.net,Kevin H.,1.15,3.67,1.91
user3341@gmail.com,Stephen W.,1.35,2.75,1.91
user6713@gmail.com,Alex F.,0.96,2.5,1.88
user4051@gmail.com,Dina L.,0.96,3.25,1.88
user9792@hotmail.com,Nancy O.,0.96,3.25,1.88
user5363@verizon.net,Tessa L.,0.96,2.5,1.88
user7736@t-mobile.com,Jenny S.,0.96,4,1.87
user1969@hotmail.com,Shaina Z.,1.15,4.5,1.82
user6407@t-mobile.com,Kandace L.,1.35,2.5,1.81
user5082@t-mobile.com,Samantha O.,1.35,2.5,1.81
user7582@yahoo.com,Sharon H.,1.15,2.75,1.79
user7287@hotmail.com,Caroline M.,1.73,2,1.78
user9921@t-mobile.com,Kimberly K.,1.54,2.33,1.78
user3864@yahoo.com,Angie S.,1.15,2.4,1.77
user6094@gmail.com,Caroline J.,1.73,1.8,1.77
user8248@t-mobile.com,Maureen  B.,1.35,2.67,1.75
user4215@hotmail.com,Vanessa B.,1.15,3,1.71
user9271@yahoo.com,Cooper P.,0.96,2.75,1.68
user2683@hotmail.com,Herlina S.,1.54,2,1.68
user3091@yahoo.com,Matthew Ryan H.,1.73,1.5,1.68
user9612@t-mobile.com,Danielle W.,1.35,2.33,1.64
user3123@t-mobile.com,Hilary S.,1.35,2.5,1.58
user2655@verizon.net,Nancy B.,0.96,3,1.57
user7540@verizon.net,Ben F.,0.77,3.33,1.54
user2537@hotmail.com,Marita C.,1.15,3,1.52
user7112@verizon.net,Anne D.,0.77,2.2,1.49
user7784@hotmail.com,Shellie C.,1.15,1.8,1.48
user5760@yahoo.com,Mary A.,0.77,2.5,1.46
user3489@yahoo.com,Conor H.,0.96,2.33,1.37
user5411@hotmail.com,Mahgul U.,1.15,3,1.33
user3695@yahoo.com,Megan B.,1.15,2,1.32
user9371@hotmail.com,Kristy B.,1.35,1,1.28
user1945@yahoo.com,Ali P.,0.77,2,1.26
user5707@yahoo.com,Gaurang P.,1.15,1.5,1.22
user7137@yahoo.com,Tasha J.,0.96,1.67,1.17
user2738@t-mobile.com,Anne B.,0.77,2,1.14
user5253@hotmail.com,Wanda C.,0.96,1.5,1.07
user6954@verizon.net,BOB M.,0.58,2,0.86
